0.5,0.48,0.44,0.40,0.36,0.32,0.30,0.28,0.27,0.25,0.23,0.22,0.20,0.19,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.11,0.10,0.10,0.09,0.08
1.0,0.97,0.89,0.80,0.72,0.63,0.60,0.57,0.54,0.51,0.48,0.45,0.42,0.38,0.35,0.32,0.30,0.29,0.27,0.26,0.24,0.22,0.21,0.19,0.18,0.16
1.5,1.50,1.36,1.23,1.09,0.95,0.90,0.86,0.81,0.77,0.72,0.67,0.62,0.58,0.53,0.48,0.46,0.43,0.41,0.38,0.36,0.34,0.31,0.29,0.26,0.24
2.0,1.90,1.75,1.60,1.45,1.30,1.23,1.16,1.09,1.02,0.95,0.89,0.82,0.76,0.69,0.63,0.60,0.57,0.54,0.51,0.48,0.45,0.42,0.38,0.35,0.32
2.5,2.40,2.20,2.00,1.80,1.60,1.52,1.44,1.36,1.28,1.20,1.12,1.04,0.95,0.87,0.79,0.75,0.71,0.68,0.64,0.60,0.56,0.52,0.48,0.44,0.40
3.0,2.90,2.65,2.40,2.15,1.90,1.81,1.71,1.62,1.52,1.43,1.33,1.24,1.14,1.05,0.95,0.90,0.86,0.81,0.77,0.72,0.67,0.62,0.58,0.53,0.48
