2,1243,1147,1050,954,857,814,771,729,686,643,600,557,514,471,428,407,385,364,342,321,300,278,257,235,214
3,2063,1903,1743,1583,1423,1352,1281,1209,1138,1067,996,925,854,783,712,676,641,605,570,534,498,463,427,392,356
4,2883,2659,2436,2212,1988,1889,1789,1690,1590,1491,1392,1292,1193,1093,994,944,895,845,796,746,696,646,597,547,497
