0.5,10.0,8.6,7.2,5.7,4.3,4.2,4.2,4.1,4.1,4.0,3.8,3.7,3.5,3.4,3.2,3.1,2.9,2.8,2.6,2.5,2.4,2.3,2.2,2.1,2.0
1,21.0,17.9,14.9,11.8,8.7,8.5,8.3,8.1,7.9,7.7,7.4,7.1,6.9,6.6,6.3,6.0,5.8,5.5,5.3,5.0,4.7,4.5,4.2,4.0,3.7
1.5,32.0,27.3,22.5,17.8,13.0,12.8,12.6,12.4,12.2,12.0,11.6,11.2,10.8,10.4,10.0,9.5,9.0,8.5,8.0,7.5,7.1,6.7,6.3,5.9,5.5
2,42.0,35.8,29.5,23.3,17.0,16.6,16.2,15.8,15.4,15.0,14.6,14.2,13.8,13.4,13.0,12.4,11.8,11.2,10.6,10.0,9.5,8.9,8.4,7.8,7.3
2.5,52.0,44.5,37.0,29.5,22.0,21.4,20.8,20.2,19.6,19.0,18.4,17.8,17.2,16.6,16.0,15.4,14.8,14.2,13.6,13.0,12.2,11.4,10.6,9.8,9.0
3,63.0,53.8,44.5,35.3,26.0,25.4,24.8,24.2,23.6,23.0,22.2,21.4,20.6,19.8,19.0,18.2,17.4,16.6,15.8,15.0,14.2,13.4,12.6,11.8,11.0
